title,type,release_year,age_certification,runtime,genres,production_countries,seasons,_id,imdb_score,imdb_votes
Rabbids Invasion,SHOW,2013,TV-Y7,10,"['comedy', 'animation', 'family', 'european']","['FR', 'US']",4,5674,5.5,1802
The November Man,MOVIE,2014,R,108,"['crime', 'action', 'thriller']","['GB', 'US']",null,2157,6.3,67243
The Cat in the Hat Knows a Lot About That!,SHOW,2013,TV-Y,19,"['animation', 'fantasy', 'scifi', 'comedy', 'family']","['US', 'GB', 'CA']",3,99440,6.4,620
The Nut Job,MOVIE,2014,PG,85,"['comedy', 'crime', 'family', 'animation']","['CA', 'KR']",null,21658,5.7,28295
Girlfriends' Guide to Divorce,SHOW,2014,TV-14,42,"['comedy', 'drama']",['US'],5,17246,6.9,4523
Brick Mansions,MOVIE,2014,PG-13,90,"['crime', 'drama', 'action', 'thriller']","['CA', 'FR']",null,30612,5.6,42137
The Big Wedding,MOVIE,2013,R,90,"['comedy', 'drama', 'romance']",['US'],null,31435,5.6,49549
Tiny House Nation,SHOW,2014,TV-PG,43,['reality'],['US'],5,69500,7.1,1126
Bonnie & Clyde,MOVIE,2013,PG-13,240,"['drama', 'crime', 'european']",['AT'],null,74851,,
Talking Tom and Friends,SHOW,2014,TV-G,11,"['comedy', 'drama', 'family', 'action', 'animation', 'fantasy', 'european']",['US'],5,48640,6.1,411
The Battered Bastards of Baseball,MOVIE,2014,R,80,"['documentation', 'sport']",['US'],null,45270,8,3953
Ever After High,SHOW,2013,TV-Y7,30,"['action', 'comedy', 'drama', 'family', 'fantasy', 'music', 'romance', 'animation']",['CA'],5,12378,7.7,1130
Yowamushi Pedal,SHOW,2013,TV-14,24,"['comedy', 'drama', 'sport', 'animation']",['JP'],4,42228,7.7,808
Sam & Cat,SHOW,2013,TV-G,24,"['drama', 'family', 'comedy']",['US'],1,87090,5.6,9507
The Smurfs 2,MOVIE,2013,PG,105,"['fantasy', 'animation', 'comedy', 'family']",['US'],null,17020,5.3,41571
Metallica: Through the Never,MOVIE,2013,R,93,['music'],['US'],null,72935,7.1,17433
Walk of Shame,MOVIE,2014,R,95,['comedy'],['US'],null,63288,6,54065
Search Party,MOVIE,2014,R,93,['comedy'],['US'],null,58904,5.6,7789
Stand by Me Doraemon,MOVIE,2014,G,90,"['fantasy', 'animation', 'comedy', 'drama', 'family', 'scifi']",['JP'],null,31846,7.3,7812
Thanks for Sharing,MOVIE,2013,R,112,"['drama', 'comedy', 'romance']",['US'],null,32718,6.4,28204
